Vendedor;Treinamento;Data;Cliente;Valor;Alunos;Instrutor;Conteúdo;Período;Total;Estado ;Avaliação Instrutor
Vanessa;Excel VBA iniciante;16/06/2016;Pessoa Física;1870;10;Henrique;Regular;Manhã;18.700,00;São Paulo;5
Renata;Excel VBA avançado;16/06/2016;Pessoa Jurídica;1910;11;Douglas;Regular;Tarde;21.010,00;São Paulo;4
Rodrigo;Access VBA;16/06/2016;Pessoa Jurídica;2240;12;Jane;Personalizado;Noite;26.880,00;São Paulo;4
Priscila;Word VBA;16/06/2016;Pessoa Jurídica;2479;11;Caio ;Regular;Integral;27.269,00;São Paulo;3
Mirian;Outlook;18/06/2016;Pessoa Física;3200;8;Fernando;Regular;Madrugada;25.600,00;São Paulo;5
Murilo;Outlook VBA;18/06/2016;Pessoa Jurídica;3921;12;Roberto;Regular;Quinta-feira;47.052,00;São Paulo;2
Roberto;PowerPoint;18/06/2016;Pessoa Física;780;12;Rosana;Personalizado;Sexta-feira;9.360,00;São Paulo;3
Myslaine;PowerPoint VBA;18/06/2016;Pessoa Física;980;9;Sandra;Regular;Personalizado;8.820,00;São Paulo;2
Katia;Access;01/06/2016;Pessoa Física;1020;12;Sérgio;Regular;Manhã;12.240,00;São Paulo;4
Vanessa;Windows;01/06/2016;Pessoa Jurídica;1340;10;Manuel;Regular;Tarde;13.400,00;São Paulo;5
Renata;Excel Básico;01/06/2016;Pessoa Jurídica;1870;10;Joaquim;Personalizado;Noite;18.700,00;São Paulo;2
Rodrigo;Excel Intermediário;01/06/2016;Pessoa Jurídica;1910;8;Paulo;Regular;Integral;15.280,00;São Paulo;4
Priscila;Excel Avançado;01/06/2016;Pessoa Física;2240;9;Leandro;Regular;Madrugada;20.160,00;São Paulo;4
Mirian;Excel Dashboards;01/06/2016;Pessoa Jurídica;2479;10;José;Regular;Sábado;24.790,00;São Paulo;3
Murilo;Excel VBA iniciante;02/06/2016;Pessoa Física;3200;8;Caio ;Personalizado;Domingo;25.600,00;São Paulo;2
Roberto;Excel VBA avançado;02/06/2016;Pessoa Física;3921;10;Caio ;Regular;Personalizado;39.210,00;São Paulo;3
Myslaine;Access VBA;02/06/2016;Pessoa Física;780;8;Fernando;Regular;Manhã;6.240,00;São Paulo;3
Katia;Word VBA;02/06/2016;Pessoa Jurídica;980;8;Fernando;Regular;Tarde;7.840,00;São Paulo;2
Vanessa;Outlook;04/06/2016;Pessoa Jurídica;1020;11;Ana;Personalizado;Noite;11.220,00;São Paulo;2
Renata;Outlook VBA;04/06/2016;Pessoa Jurídica;1340;10;Paulo;Regular;Integral;13.400,00;São Paulo;5
Rodrigo;PowerPoint;04/06/2016;Pessoa Física;1870;11;Sandra;Regular;Madrugada;20.570,00;São Paulo;5
Priscila;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1910;8;Sandra;Regular;Segunda-feira;15.280,00;São Paulo;3
Mirian;Access;06/06/2016;Pessoa Física;2240;9;Humberto;Personalizado;Terça-feira;20.160,00;São Paulo;4
Murilo;Windows;06/06/2016;Pessoa Física;2479;9;Henrique;Regular;Personalizado;22.311,00;São Paulo;2
Roberto;Excel Básico;06/06/2016;Pessoa Física;3200;11;Douglas;Regular;Manhã;35.200,00;São Paulo;5
Myslaine;Excel Intermediário;06/06/2016;Pessoa Jurídica;3921;11;Jane;Regular;Tarde;43.131,00;São Paulo;3
Katia;Excel Avançado;08/06/2016;Pessoa Jurídica;780;10;Caio ;Personalizado;Noite;7.800,00;São Paulo;5
Vanessa;Excel Dashboards;08/06/2016;Pessoa Jurídica;980;12;Fernando;Regular;Integral;11.760,00;São Paulo;5
Renata;Excel VBA iniciante;08/06/2016;Pessoa Física;1020;10;Roberto;Regular;Madrugada;10.200,00;São Paulo;4
Rodrigo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;1340;9;Rosana;Regular;Quarta-feira;12.060,00;São Paulo;3
Priscila;Access VBA;10/06/2016;Pessoa Física;1870;10;Sandra;Personalizado;Quinta-feira;18.700,00;São Paulo;3
Mirian;Word VBA;10/06/2016;Pessoa Física;1910;11;Sérgio;Regular;Personalizado;21.010,00;São Paulo;3
Murilo;Outlook;10/06/2016;Pessoa Física;2240;12;Manuel;Regular;Manhã;26.880,00;São Paulo;3
Roberto;Outlook VBA;10/06/2016;Pessoa Jurídica;2479;8;Joaquim;Regular;Tarde;19.832,00;São Paulo;5
Myslaine;PowerPoint;12/06/2016;Pessoa Jurídica;3200;8;Paulo;Personalizado;Noite;25.600,00;São Paulo;2
Katia;PowerPoint VBA;12/06/2016;Pessoa Jurídica;3921;11;Leandro;Regular;Integral;43.131,00;São Paulo;3
Vanessa;Access;12/06/2016;Pessoa Física;780;9;José;Regular;Madrugada;7.020,00;São Paulo;5
Renata;Windows;12/06/2016;Pessoa Jurídica;980;10;Caio ;Regular;Sexta-feira;9.800,00;São Paulo;5
Rodrigo;Excel Básico;14/06/2016;Pessoa Física;1020;11;Caio ;Personalizado;Sábado;11.220,00;São Paulo;5
Priscila;Excel Intermediário;14/06/2016;Pessoa Física;1340;8;Fernando;Regular;Personalizado;10.720,00;São Paulo;3
Mirian;Excel Avançado;14/06/2016;Pessoa Física;1870;11;Fernando;Regular;Manhã;20.570,00;São Paulo;5
Murilo;Excel Dashboards;14/06/2016;Pessoa Jurídica;1910;12;Ana;Regular;Tarde;22.920,00;São Paulo;3
Roberto;Excel VBA iniciante;16/06/2016;Pessoa Jurídica;2240;10;Paulo;Personalizado;Noite;22.400,00;São Paulo;4
Myslaine;Excel VBA avançado;16/06/2016;Pessoa Jurídica;2479;12;Sandra;Regular;Integral;29.748,00;São Paulo;4
Katia;Access VBA;16/06/2016;Pessoa Física;3200;8;Sandra;Regular;Madrugada;25.600,00;São Paulo;5
Vanessa;Word VBA;16/06/2016;Pessoa Jurídica;3921;8;Humberto;Regular;Domingo;31.368,00;São Paulo;4
Renata;Outlook;18/06/2016;Pessoa Física;780;12;Henrique;Personalizado;Segunda-feira;9.360,00;São Paulo;5
Rodrigo;Outlook VBA;18/06/2016;Pessoa Física;980;11;Douglas;Regular;Personalizado;10.780,00;São Paulo;3
Priscila;PowerPoint;18/06/2016;Pessoa Física;1020;10;Jane;Regular;Manhã;10.200,00;São Paulo;5
Mirian;PowerPoint VBA;18/06/2016;Pessoa Jurídica;1340;8;Caio ;Regular;Tarde;10.720,00;São Paulo;5
Murilo;Access;01/06/2016;Pessoa Jurídica;1870;8;Fernando;Personalizado;Noite;14.960,00;São Paulo;2
Roberto;Windows;01/06/2016;Pessoa Jurídica;1910;10;Roberto;Regular;Integral;19.100,00;São Paulo;3
Myslaine;Excel Básico;01/06/2016;Pessoa Física;2240;9;Rosana;Regular;Madrugada;20.160,00;São Paulo;4
Katia;Excel Intermediário;01/06/2016;Pessoa Jurídica;2479;12;Sandra;Regular;Terça-feira;29.748,00;São Paulo;4
Vanessa;Excel Avançado;01/06/2016;Pessoa Física;3200;8;Sérgio;Personalizado;Quarta-feira;25.600,00;São Paulo;4
Renata;Excel Dashboards;01/06/2016;Pessoa Física;3921;12;Manuel;Regular;Personalizado;47.052,00;São Paulo;3
Rodrigo;Excel VBA iniciante;02/06/2016;Pessoa Física;780;9;Joaquim;Regular;Manhã;7.020,00;São Paulo;4
Priscila;Excel VBA avançado;02/06/2016;Pessoa Jurídica;980;11;Paulo;Regular;Tarde;10.780,00;São Paulo;4
Mirian;Access VBA;02/06/2016;Pessoa Jurídica;1020;12;Leandro;Personalizado;Noite;12.240,00;São Paulo;2
Murilo;Word VBA;02/06/2016;Pessoa Jurídica;1340;10;José;Regular;Integral;13.400,00;São Paulo;2
Roberto;Outlook;04/06/2016;Pessoa Física;1870;8;Caio ;Regular;Madrugada;14.960,00;São Paulo;3
Myslaine;Outlook VBA;04/06/2016;Pessoa Jurídica;1910;8;Caio ;Regular;Quinta-feira;15.280,00;São Paulo;5
Katia;PowerPoint;04/06/2016;Pessoa Física;2240;11;Fernando;Personalizado;Sexta-feira;24.640,00;São Paulo;4
Vanessa;PowerPoint VBA;04/06/2016;Pessoa Física;2479;10;Fernando;Regular;Personalizado;24.790,00;São Paulo;2
Renata;Access;06/06/2016;Pessoa Física;3200;10;Ana;Regular;Manhã;32.000,00;São Paulo;3
Rodrigo;Windows;06/06/2016;Pessoa Jurídica;3921;12;Paulo;Regular;Tarde;47.052,00;São Paulo;2
Priscila;Excel Básico;06/06/2016;Pessoa Jurídica;780;11;Sandra;Personalizado;Noite;8.580,00;São Paulo;3
Mirian;Excel Intermediário;06/06/2016;Pessoa Jurídica;980;10;Sandra;Regular;Integral;9.800,00;São Paulo;5
Murilo;Excel Avançado;08/06/2016;Pessoa Física;1020;12;Humberto;Regular;Madrugada;12.240,00;São Paulo;3
Roberto;Excel Dashboards;08/06/2016;Pessoa Jurídica;1340;10;Henrique;Regular;Sábado;13.400,00;São Paulo;4
Myslaine;Excel VBA iniciante;08/06/2016;Pessoa Física;1870;9;Douglas;Personalizado;Domingo;16.830,00;São Paulo;4
Katia;Excel VBA avançado;08/06/2016;Pessoa Física;1910;10;Jane;Regular;Personalizado;19.100,00;São Paulo;5
Vanessa;Access VBA;10/06/2016;Pessoa Física;2240;8;Caio ;Regular;Manhã;17.920,00;São Paulo;4
Renata;Word VBA;10/06/2016;Pessoa Jurídica;2479;9;Fernando;Regular;Tarde;22.311,00;São Paulo;4
Rodrigo;Outlook;10/06/2016;Pessoa Jurídica;3200;9;Roberto;Personalizado;Noite;28.800,00;São Paulo;2
Priscila;Outlook VBA;10/06/2016;Pessoa Jurídica;3921;12;Rosana;Regular;Integral;47.052,00;São Paulo;5
Mirian;PowerPoint;12/06/2016;Pessoa Física;780;11;Sandra;Regular;Madrugada;8.580,00;São Paulo;4
Murilo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;980;8;Sérgio;Regular;Segunda-feira;7.840,00;São Paulo;4
Roberto;Access;12/06/2016;Pessoa Física;1020;9;Manuel;Personalizado;Terça-feira;9.180,00;São Paulo;5
Myslaine;Windows;12/06/2016;Pessoa Física;1340;10;Joaquim;Regular;Personalizado;13.400,00;São Paulo;5
Katia;Excel Básico;14/06/2016;Pessoa Física;1870;10;Paulo;Regular;Manhã;18.700,00;São Paulo;3
Vanessa;Excel Intermediário;14/06/2016;Pessoa Jurídica;1910;10;Leandro;Regular;Tarde;19.100,00;São Paulo;5
Renata;Excel Avançado;14/06/2016;Pessoa Jurídica;2240;10;José;Personalizado;Noite;22.400,00;São Paulo;2
Rodrigo;Excel Dashboards;14/06/2016;Pessoa Jurídica;2479;12;Caio ;Regular;Integral;29.748,00;São Paulo;3
Priscila;Excel VBA iniciante;16/06/2016;Pessoa Física;3200;8;Caio ;Regular;Madrugada;25.600,00;São Paulo;2
Mirian;Excel VBA avançado;16/06/2016;Pessoa Jurídica;3921;11;Fernando;Regular;Quarta-feira;43.131,00;São Paulo;2
Murilo;Access VBA;16/06/2016;Pessoa Física;780;9;Fernando;Personalizado;Quinta-feira;7.020,00;São Paulo;5
Roberto;Word VBA;16/06/2016;Pessoa Física;980;9;Ana;Regular;Personalizado;8.820,00;São Paulo;4
Myslaine;Outlook;18/06/2016;Pessoa Física;1020;8;Paulo;Regular;Manhã;8.160,00;São Paulo;4
Katia;Outlook VBA;18/06/2016;Pessoa Jurídica;1340;8;Sandra;Regular;Tarde;10.720,00;São Paulo;5
Vanessa;PowerPoint;18/06/2016;Pessoa Jurídica;1870;11;Sandra;Personalizado;Noite;20.570,00;São Paulo;3
Renata;PowerPoint VBA;18/06/2016;Pessoa Jurídica;1910;10;Humberto;Regular;Integral;19.100,00;São Paulo;4
Rodrigo;Access;01/06/2016;Pessoa Física;2240;8;Henrique;Regular;Madrugada;17.920,00;São Paulo;4
Priscila;Windows;01/06/2016;Pessoa Jurídica;2479;10;Douglas;Regular;Sexta-feira;24.790,00;São Paulo;3
Mirian;Excel Básico;01/06/2016;Pessoa Física;3200;8;Jane;Personalizado;Sábado;25.600,00;São Paulo;4
Murilo;Excel Intermediário;01/06/2016;Pessoa Física;3921;10;Caio ;Regular;Personalizado;39.210,00;São Paulo;5
Roberto;Excel Avançado;01/06/2016;Pessoa Física;780;9;Fernando;Regular;Manhã;7.020,00;São Paulo;4
Myslaine;Excel Dashboards;01/06/2016;Pessoa Jurídica;980;12;Roberto;Regular;Tarde;11.760,00;São Paulo;2
Katia;Excel VBA iniciante;02/06/2016;Pessoa Jurídica;1020;8;Rosana;Personalizado;Noite;8.160,00;São Paulo;3
Vanessa;Excel VBA avançado;02/06/2016;Pessoa Jurídica;1340;10;Sandra;Regular;Integral;13.400,00;São Paulo;5
Renata;Access VBA;02/06/2016;Pessoa Física;1870;12;Sérgio;Regular;Madrugada;22.440,00;São Paulo;5
Rodrigo;Word VBA;02/06/2016;Pessoa Jurídica;1910;9;Manuel;Regular;Domingo;17.190,00;São Paulo;2
Priscila;Outlook;04/06/2016;Pessoa Física;2240;10;Joaquim;Personalizado;Segunda-feira;22.400,00;São Paulo;5
Mirian;Outlook VBA;04/06/2016;Pessoa Física;2479;8;Paulo;Regular;Personalizado;19.832,00;São Paulo;3
Murilo;PowerPoint;04/06/2016;Pessoa Física;3200;12;Leandro;Regular;Manhã;38.400,00;São Paulo;2
Roberto;PowerPoint VBA;04/06/2016;Pessoa Jurídica;3921;9;José;Regular;Tarde;35.289,00;São Paulo;2
Myslaine;Access;06/06/2016;Pessoa Jurídica;780;12;Caio ;Personalizado;Noite;9.360,00;São Paulo;5
Katia;Windows;06/06/2016;Pessoa Jurídica;980;12;Caio ;Regular;Integral;11.760,00;São Paulo;5
Vanessa;Excel Básico;06/06/2016;Pessoa Física;1020;10;Fernando;Regular;Madrugada;10.200,00;São Paulo;4
Renata;Excel Intermediário;06/06/2016;Pessoa Jurídica;1340;9;Fernando;Regular;Terça-feira;12.060,00;São Paulo;5
Rodrigo;Excel Avançado;08/06/2016;Pessoa Física;1870;8;Ana;Personalizado;Quarta-feira;14.960,00;São Paulo;3
Priscila;Excel Dashboards;08/06/2016;Pessoa Física;1910;8;Paulo;Regular;Personalizado;15.280,00;São Paulo;3
Mirian;Excel VBA iniciante;08/06/2016;Pessoa Física;2240;11;Sandra;Regular;Manhã;24.640,00;São Paulo;4
Murilo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;2479;12;Sandra;Regular;Tarde;29.748,00;São Paulo;3
Roberto;Access VBA;10/06/2016;Pessoa Jurídica;3200;12;Humberto;Personalizado;Noite;38.400,00;São Paulo;5
Myslaine;Word VBA;10/06/2016;Pessoa Jurídica;3921;9;Henrique;Regular;Integral;35.289,00;São Paulo;3
Katia;Outlook;10/06/2016;Pessoa Física;780;11;Douglas;Regular;Madrugada;8.580,00;São Paulo;4
Vanessa;Outlook VBA;10/06/2016;Pessoa Jurídica;980;11;Jane;Regular;Quinta-feira;10.780,00;São Paulo;3
Renata;PowerPoint;12/06/2016;Pessoa Física;1020;9;Caio ;Personalizado;Sexta-feira;9.180,00;São Paulo;2
Rodrigo;PowerPoint VBA;12/06/2016;Pessoa Física;1340;8;Fernando;Regular;Personalizado;10.720,00;São Paulo;4
Priscila;Access;12/06/2016;Pessoa Física;1870;10;Roberto;Regular;Manhã;18.700,00;São Paulo;2
Mirian;Windows;12/06/2016;Pessoa Jurídica;1910;8;Rosana;Regular;Tarde;15.280,00;São Paulo;3
Murilo;Excel Básico;14/06/2016;Pessoa Jurídica;2240;11;Sandra;Personalizado;Noite;24.640,00;São Paulo;3
Roberto;Excel Intermediário;14/06/2016;Pessoa Jurídica;2479;11;Sérgio;Regular;Integral;27.269,00;São Paulo;3
Myslaine;Excel Avançado;14/06/2016;Pessoa Física;3200;10;Manuel;Regular;Madrugada;32.000,00;São Paulo;2
Katia;Excel Dashboards;14/06/2016;Pessoa Jurídica;3921;10;Joaquim;Regular;Sábado;39.210,00;São Paulo;2
Vanessa;Excel VBA iniciante;16/06/2016;Pessoa Física;780;9;Paulo;Personalizado;Domingo;7.020,00;São Paulo;5
Renata;Excel VBA avançado;16/06/2016;Pessoa Física;980;11;Leandro;Regular;Personalizado;10.780,00;São Paulo;4
Rodrigo;Access VBA;16/06/2016;Pessoa Física;1020;12;José;Regular;Manhã;12.240,00;São Paulo;3
Priscila;Word VBA;16/06/2016;Pessoa Jurídica;1340;10;Caio ;Regular;Tarde;13.400,00;São Paulo;2
Mirian;Outlook;18/06/2016;Pessoa Jurídica;1870;12;Caio ;Personalizado;Noite;22.440,00;São Paulo;5
Murilo;Outlook VBA;18/06/2016;Pessoa Jurídica;1910;9;Fernando;Regular;Integral;17.190,00;São Paulo;5
Roberto;PowerPoint;18/06/2016;Pessoa Física;2240;12;Fernando;Regular;Madrugada;26.880,00;São Paulo;2
Myslaine;PowerPoint VBA;18/06/2016;Pessoa Jurídica;2479;11;Ana;Regular;Segunda-feira;27.269,00;São Paulo;3
Katia;Access;01/06/2016;Pessoa Física;3200;9;Paulo;Personalizado;Terça-feira;28.800,00;São Paulo;4
Vanessa;Windows;01/06/2016;Pessoa Física;3921;8;Sandra;Regular;Personalizado;31.368,00;São Paulo;4
Renata;Excel Básico;01/06/2016;Pessoa Física;780;10;Sandra;Regular;Manhã;7.800,00;São Paulo;3
Rodrigo;Excel Intermediário;01/06/2016;Pessoa Jurídica;980;11;Humberto;Regular;Tarde;10.780,00;São Paulo;5
Priscila;Excel Avançado;01/06/2016;Pessoa Jurídica;1020;9;Henrique;Personalizado;Noite;9.180,00;São Paulo;2
Mirian;Excel Dashboards;01/06/2016;Pessoa Jurídica;1340;12;Douglas;Regular;Integral;16.080,00;São Paulo;4
Murilo;Excel VBA iniciante;02/06/2016;Pessoa Física;1870;8;Jane;Regular;Madrugada;14.960,00;São Paulo;3
Roberto;Excel VBA avançado;02/06/2016;Pessoa Jurídica;1910;8;Caio ;Regular;Quarta-feira;15.280,00;São Paulo;2
Myslaine;Access VBA;02/06/2016;Pessoa Física;2240;10;Fernando;Personalizado;Quinta-feira;22.400,00;São Paulo;4
Katia;Word VBA;02/06/2016;Pessoa Física;2479;9;Roberto;Regular;Personalizado;22.311,00;São Paulo;3
Vanessa;Outlook;04/06/2016;Pessoa Física;3200;10;Rosana;Regular;Manhã;32.000,00;São Paulo;2
Renata;Outlook VBA;04/06/2016;Pessoa Jurídica;3921;11;Sandra;Regular;Tarde;43.131,00;São Paulo;5
Rodrigo;PowerPoint;04/06/2016;Pessoa Jurídica;780;9;Sérgio;Personalizado;Noite;7.020,00;São Paulo;5
Priscila;PowerPoint VBA;04/06/2016;Pessoa Jurídica;980;9;Manuel;Regular;Integral;8.820,00;São Paulo;4
Mirian;Access;06/06/2016;Pessoa Física;1020;8;Joaquim;Regular;Madrugada;8.160,00;São Paulo;5
Murilo;Windows;06/06/2016;Pessoa Jurídica;1340;9;Paulo;Regular;Sexta-feira;12.060,00;São Paulo;3
Roberto;Excel Básico;06/06/2016;Pessoa Física;1870;9;Leandro;Personalizado;Sábado;16.830,00;São Paulo;4
Myslaine;Excel Intermediário;06/06/2016;Pessoa Física;1910;10;José;Regular;Personalizado;19.100,00;São Paulo;4
Katia;Excel Avançado;08/06/2016;Pessoa Física;2240;12;Caio ;Regular;Manhã;26.880,00;São Paulo;2
Vanessa;Excel Dashboards;08/06/2016;Pessoa Jurídica;2479;11;Caio ;Regular;Tarde;27.269,00;São Paulo;4
Renata;Excel VBA iniciante;08/06/2016;Pessoa Jurídica;3200;11;Fernando;Personalizado;Noite;35.200,00;São Paulo;4
Rodrigo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;3921;10;Fernando;Regular;Integral;39.210,00;São Paulo;4
Priscila;Access VBA;10/06/2016;Pessoa Física;780;8;Ana;Regular;Madrugada;6.240,00;São Paulo;5
Mirian;Word VBA;10/06/2016;Pessoa Jurídica;980;11;Paulo;Regular;Domingo;10.780,00;São Paulo;2
Murilo;Outlook;10/06/2016;Pessoa Física;1020;12;Sandra;Personalizado;Segunda-feira;12.240,00;São Paulo;3
Roberto;Outlook VBA;10/06/2016;Pessoa Física;1340;11;Sandra;Regular;Personalizado;14.740,00;São Paulo;2
Myslaine;PowerPoint;12/06/2016;Pessoa Física;1870;10;Humberto;Regular;Manhã;18.700,00;São Paulo;3
Katia;PowerPoint VBA;12/06/2016;Pessoa Jurídica;1910;12;Henrique;Regular;Tarde;22.920,00;São Paulo;2
Vanessa;Access;12/06/2016;Pessoa Jurídica;2240;12;Douglas;Personalizado;Noite;26.880,00;São Paulo;3
Renata;Windows;12/06/2016;Pessoa Jurídica;2479;9;Jane;Regular;Integral;22.311,00;São Paulo;5
Rodrigo;Excel Básico;14/06/2016;Pessoa Física;3200;11;Caio ;Regular;Madrugada;35.200,00;São Paulo;5
Priscila;Excel Intermediário;14/06/2016;Pessoa Jurídica;3921;8;Fernando;Regular;Terça-feira;31.368,00;São Paulo;3
Mirian;Excel Avançado;14/06/2016;Pessoa Física;780;11;Roberto;Personalizado;Quarta-feira;8.580,00;São Paulo;3
Murilo;Excel Dashboards;14/06/2016;Pessoa Física;980;9;Rosana;Regular;Personalizado;8.820,00;São Paulo;3
Roberto;Excel VBA iniciante;16/06/2016;Pessoa Física;1020;10;Sandra;Regular;Manhã;10.200,00;São Paulo;3
Myslaine;Excel VBA avançado;16/06/2016;Pessoa Jurídica;1340;10;Sérgio;Regular;Tarde;13.400,00;São Paulo;4
Katia;Access VBA;16/06/2016;Pessoa Jurídica;1870;9;Manuel;Personalizado;Noite;16.830,00;São Paulo;2
Vanessa;Word VBA;16/06/2016;Pessoa Jurídica;1910;10;Joaquim;Regular;Integral;19.100,00;São Paulo;4
Renata;Outlook;18/06/2016;Pessoa Física;2240;10;Paulo;Regular;Madrugada;22.400,00;São Paulo;2
Rodrigo;Outlook VBA;18/06/2016;Pessoa Jurídica;2479;12;Leandro;Regular;Quinta-feira;29.748,00;São Paulo;3
Priscila;PowerPoint;18/06/2016;Pessoa Física;3200;9;José;Personalizado;Sexta-feira;28.800,00;São Paulo;5
Mirian;PowerPoint VBA;18/06/2016;Pessoa Física;3921;12;Caio ;Regular;Personalizado;47.052,00;São Paulo;2
Murilo;Access;01/06/2016;Pessoa Física;780;8;Caio ;Regular;Manhã;6.240,00;São Paulo;2
Roberto;Windows;01/06/2016;Pessoa Jurídica;980;12;Fernando;Regular;Tarde;11.760,00;São Paulo;2
Myslaine;Excel Básico;01/06/2016;Pessoa Jurídica;1020;12;Fernando;Personalizado;Noite;12.240,00;São Paulo;5
Katia;Excel Intermediário;01/06/2016;Pessoa Jurídica;1340;9;Ana;Regular;Integral;12.060,00;São Paulo;2
Vanessa;Excel Avançado;01/06/2016;Pessoa Física;1870;12;Paulo;Regular;Madrugada;22.440,00;São Paulo;3
Renata;Excel Dashboards;01/06/2016;Pessoa Jurídica;1910;8;Sandra;Regular;Sábado;15.280,00;São Paulo;2
Rodrigo;Excel VBA iniciante;02/06/2016;Pessoa Física;2240;11;Sandra;Personalizado;Domingo;24.640,00;São Paulo;2
Priscila;Excel VBA avançado;02/06/2016;Pessoa Física;2479;10;Humberto;Regular;Personalizado;24.790,00;São Paulo;5
Mirian;Access VBA;02/06/2016;Pessoa Física;3200;11;Henrique;Regular;Manhã;35.200,00;São Paulo;4
Murilo;Word VBA;02/06/2016;Pessoa Jurídica;3921;12;Douglas;Regular;Tarde;47.052,00;São Paulo;2
Roberto;Outlook;04/06/2016;Pessoa Jurídica;780;8;Jane;Personalizado;Noite;6.240,00;São Paulo;3
Myslaine;Outlook VBA;04/06/2016;Pessoa Jurídica;980;11;Caio ;Regular;Integral;10.780,00;São Paulo;5
Katia;PowerPoint;04/06/2016;Pessoa Física;1020;10;Fernando;Regular;Madrugada;10.200,00;São Paulo;4
Vanessa;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1340;8;Roberto;Regular;Segunda-feira;10.720,00;São Paulo;4
Renata;Access;06/06/2016;Pessoa Física;1870;10;Rosana;Personalizado;Terça-feira;18.700,00;São Paulo;3
Rodrigo;Windows;06/06/2016;Pessoa Física;1910;8;Sandra;Regular;Personalizado;15.280,00;São Paulo;2
Priscila;Excel Básico;06/06/2016;Pessoa Física;2240;10;Sérgio;Regular;Manhã;22.400,00;São Paulo;4
Mirian;Excel Intermediário;06/06/2016;Pessoa Jurídica;2479;12;Manuel;Regular;Tarde;29.748,00;São Paulo;4
Murilo;Excel Avançado;08/06/2016;Pessoa Jurídica;3200;9;Joaquim;Personalizado;Noite;28.800,00;São Paulo;5
Roberto;Excel Dashboards;08/06/2016;Pessoa Jurídica;3921;10;Paulo;Regular;Integral;39.210,00;São Paulo;4
Myslaine;Excel VBA iniciante;08/06/2016;Pessoa Física;780;9;Leandro;Regular;Madrugada;7.020,00;São Paulo;4
Katia;Excel VBA avançado;08/06/2016;Pessoa Jurídica;980;9;José;Regular;Quarta-feira;8.820,00;São Paulo;4
Vanessa;Access VBA;10/06/2016;Pessoa Física;1020;9;Caio ;Personalizado;Quinta-feira;9.180,00;São Paulo;2
Renata;Word VBA;10/06/2016;Pessoa Física;1340;11;Caio ;Regular;Personalizado;14.740,00;São Paulo;5
Rodrigo;Outlook;10/06/2016;Pessoa Física;1870;11;Fernando;Regular;Manhã;20.570,00;São Paulo;5
Priscila;Outlook VBA;10/06/2016;Pessoa Jurídica;1910;10;Fernando;Regular;Tarde;19.100,00;São Paulo;3
Mirian;PowerPoint;12/06/2016;Pessoa Jurídica;2240;11;Ana;Personalizado;Noite;24.640,00;São Paulo;3
Murilo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;2479;10;Paulo;Regular;Integral;24.790,00;São Paulo;5
Roberto;Access;12/06/2016;Pessoa Física;3200;11;Sandra;Regular;Madrugada;35.200,00;São Paulo;5
Myslaine;Windows;12/06/2016;Pessoa Jurídica;3921;10;Sandra;Regular;Sexta-feira;39.210,00;São Paulo;4
Katia;Excel Básico;14/06/2016;Pessoa Física;780;11;Humberto;Personalizado;Sábado;8.580,00;São Paulo;4
Vanessa;Excel Intermediário;14/06/2016;Pessoa Física;980;10;Henrique;Regular;Personalizado;9.800,00;São Paulo;3
Renata;Excel Avançado;14/06/2016;Pessoa Física;1020;10;Douglas;Regular;Manhã;10.200,00;São Paulo;3
Rodrigo;Excel Dashboards;14/06/2016;Pessoa Jurídica;1340;10;Jane;Regular;Tarde;13.400,00;São Paulo;3
Priscila;Excel VBA iniciante;16/06/2016;Pessoa Jurídica;1870;11;Caio ;Personalizado;Noite;20.570,00;São Paulo;4
Mirian;Excel VBA avançado;16/06/2016;Pessoa Jurídica;1910;9;Fernando;Regular;Integral;17.190,00;São Paulo;5
Murilo;Access VBA;16/06/2016;Pessoa Física;2240;9;Roberto;Regular;Madrugada;20.160,00;São Paulo;4
Roberto;Word VBA;16/06/2016;Pessoa Jurídica;2479;11;Rosana;Regular;Domingo;27.269,00;São Paulo;2
Myslaine;Outlook;18/06/2016;Pessoa Física;3200;9;Sandra;Personalizado;Segunda-feira;28.800,00;São Paulo;2
Katia;Outlook VBA;18/06/2016;Pessoa Física;3921;8;Sérgio;Regular;Personalizado;31.368,00;São Paulo;4
Vanessa;PowerPoint;18/06/2016;Pessoa Física;780;10;Manuel;Regular;Manhã;7.800,00;São Paulo;5
Renata;PowerPoint VBA;18/06/2016;Pessoa Jurídica;980;9;Joaquim;Regular;Tarde;8.820,00;São Paulo;4
Rodrigo;Access;01/06/2016;Pessoa Jurídica;1020;9;Paulo;Personalizado;Noite;9.180,00;São Paulo;4
Priscila;Windows;01/06/2016;Pessoa Jurídica;1340;11;Leandro;Regular;Integral;14.740,00;São Paulo;3
Mirian;Excel Básico;01/06/2016;Pessoa Física;1870;9;José;Regular;Madrugada;16.830,00;São Paulo;4
Murilo;Excel Intermediário;01/06/2016;Pessoa Jurídica;1910;8;Caio ;Regular;Terça-feira;15.280,00;São Paulo;4
